Configuration,Lambda_Metric,AUROC,AUPRC,Average_Precision,Accuracy,Precision,Recall,F1,FPR,LRN_Recall,SLSN_Recall,TDE_Recall,Known_Mean_Dist,LRN_Mean_Dist,SLSN_Mean_Dist,TDE_Mean_Dist
Baseline (CE Only),0.0,0.8049999999999999,0.8685993919353098,0.8712073345430377,0.64,0.875,0.4666666666666667,0.608695652173913,0.1,0.4,1.0,0.0,7.439960479736328,8.984246349334716,19.488915061950685,7.458607625961304
Metric-Regularized (CE + SupCon),0.1,0.8433333333333334,0.8907073615406522,0.893005564627442,0.64,0.9285714285714286,0.43333333333333335,0.5909090909090909,0.05,0.3,1.0,0.0,8.90110912322998,10.951521730422973,13.624853420257569,8.541513347625733
