fpr,tpr,threshold
0.0,0.0,inf
0.017241379310344827,0.0,0.8259774197441686
0.08620689655172414,0.0,0.817027070025719
0.08620689655172414,0.029411764705882353,0.8090082050945143
0.1896551724137931,0.029411764705882353,0.7990299022313643
0.1896551724137931,0.058823529411764705,0.7974490185100929
0.20689655172413793,0.058823529411764705,0.7971855054427464
0.20689655172413793,0.11764705882352941,0.7954856362731326
0.27586206896551724,0.11764705882352941,0.7825240123684324
0.27586206896551724,0.14705882352941177,0.7757442335593763
0.3448275862068966,0.14705882352941177,0.7638260274007997
0.3448275862068966,0.20588235294117646,0.7580259061563948
0.3620689655172414,0.20588235294117646,0.755710320785574
0.3620689655172414,0.2647058823529412,0.7536747855355882
0.3793103448275862,0.2647058823529412,0.7535870954360857
0.3793103448275862,0.29411764705882354,0.7478597786800245
0.39655172413793105,0.29411764705882354,0.746400397883584
0.39655172413793105,0.3235294117647059,0.7375814265382934
0.5,0.3235294117647059,0.7140102028887396
0.5,0.38235294117647056,0.711645763265934
0.5862068965517241,0.38235294117647056,0.6861991808649932
0.5862068965517241,0.4117647058823529,0.6856792269805225
0.603448275862069,0.4117647058823529,0.684302742403681
0.603448275862069,0.4411764705882353,0.6804922218215038
0.6379310344827587,0.4411764705882353,0.6754321521520087
0.6379310344827587,0.47058823529411764,0.6704097275646959
0.6551724137931034,0.47058823529411764,0.6687349231208333
0.6551724137931034,0.5,0.6655867870817629
0.6896551724137931,0.5,0.6273487435657799
0.6896551724137931,0.5588235294117647,0.6229861057525012
0.7068965517241379,0.5588235294117647,0.6212399721079944
0.7068965517241379,0.7058823529411765,0.613339689058202
0.8275862068965517,0.7058823529411765,0.5883965244950965
0.8275862068965517,0.7352941176470589,0.5814585587368887
0.8793103448275862,0.7352941176470589,0.5654620477576235
0.8793103448275862,0.7647058823529411,0.5584264454960741
0.896551724137931,0.7647058823529411,0.5552027180149618
0.896551724137931,0.7941176470588235,0.5517199835293617
0.9310344827586207,0.7941176470588235,0.5372558949275683
0.9310344827586207,0.9117647058823529,0.4892986932573302
1.0,0.9117647058823529,0.4632450941444255
1.0,1.0,0.2797408600126863
