precision,recall,threshold
0.3695652173913043,1.0,0.2797408600126863
0.3626373626373626,0.9705882352941176,0.45007487399801066
0.35555555555555557,0.9411764705882353,0.4543661645540801
0.34831460674157305,0.9117647058823529,0.4632450941444255
0.3522727272727273,0.9117647058823529,0.4729084507502985
0.3563218390804598,0.9117647058823529,0.4747012855314763
0.36046511627906974,0.9117647058823529,0.4813963426339697
0.36470588235294116,0.9117647058823529,0.4892986932573302
0.35714285714285715,0.8823529411764706,0.5107312804826913
0.3493975903614458,0.8529411764705882,0.5253822724444522
0.34146341463414637,0.8235294117647058,0.5304113653011291
0.3333333333333333,0.7941176470588235,0.5372558949275683
0.3375,0.7941176470588235,0.5437230224415941
0.34177215189873417,0.7941176470588235,0.5517199835293617
0.3333333333333333,0.7647058823529411,0.5552027180149618
0.33766233766233766,0.7647058823529411,0.5584264454960741
0.32894736842105265,0.7352941176470589,0.5654620477576235
0.3333333333333333,0.7352941176470589,0.5688362748925457
0.33783783783783783,0.7352941176470589,0.5716234288820992
0.3424657534246575,0.7352941176470589,0.5814585587368887
0.3333333333333333,0.7058823529411765,0.5883965244950965
0.3380281690140845,0.7058823529411765,0.5983353856482307
0.34285714285714286,0.7058823529411765,0.5988995481496777
0.34782608695652173,0.7058823529411765,0.6006038515253624
0.35294117647058826,0.7058823529411765,0.6039044916088423
0.3582089552238806,0.7058823529411765,0.6060971283745051
0.36363636363636365,0.7058823529411765,0.6130282772708769
0.36923076923076925,0.7058823529411765,0.613339689058202
0.359375,0.6764705882352942,0.6140567649840418
0.3492063492063492,0.6470588235294118,0.6149528920831475
0.3387096774193548,0.6176470588235294,0.6179563309892165
0.32786885245901637,0.5882352941176471,0.6198236741606258
0.31666666666666665,0.5588235294117647,0.6212399721079944
0.3220338983050847,0.5588235294117647,0.6229861057525012
0.3103448275862069,0.5294117647058824,0.6253511388152072
0.2982456140350877,0.5,0.6273487435657799
0.30357142857142855,0.5,0.6373545955921454
0.3090909090909091,0.5,0.6655867870817629
0.2962962962962963,0.47058823529411764,0.6687349231208333
0.3018867924528302,0.47058823529411764,0.6704097275646959
0.28846153846153844,0.4411764705882353,0.6754321521520087
0.29411764705882354,0.4411764705882353,0.67770218530136
0.3,0.4411764705882353,0.6804922218215038
0.2857142857142857,0.4117647058823529,0.684302742403681
0.2916666666666667,0.4117647058823529,0.6856792269805225
0.2765957446808511,0.38235294117647056,0.6861991808649932
0.2826086956521739,0.38235294117647056,0.6933663806347452
0.28888888888888886,0.38235294117647056,0.7011878110189791
0.29545454545454547,0.38235294117647056,0.7045855915106878
0.3023255813953488,0.38235294117647056,0.7080966359255724
0.30952380952380953,0.38235294117647056,0.711645763265934
0.2926829268292683,0.35294117647058826,0.7119563085347183
0.275,0.3235294117647059,0.7140102028887396
0.28205128205128205,0.3235294117647059,0.7142420715280188
0.2894736842105263,0.3235294117647059,0.7149897753592211
0.2972972972972973,0.3235294117647059,0.7174373715956565
0.3055555555555556,0.3235294117647059,0.721680243064031
0.3142857142857143,0.3235294117647059,0.7366587824590377
0.3235294117647059,0.3235294117647059,0.7375814265382934
0.30303030303030304,0.29411764705882354,0.746400397883584
0.3125,0.29411764705882354,0.7478597786800245
0.2903225806451613,0.2647058823529412,0.7535870954360857
0.3,0.2647058823529412,0.7536747855355882
0.27586206896551724,0.23529411764705882,0.7537168097684226
0.25,0.20588235294117646,0.755710320785574
0.25925925925925924,0.20588235294117646,0.7580259061563948
0.23076923076923078,0.17647058823529413,0.762577462723519
0.2,0.14705882352941177,0.7638260274007997
0.20833333333333334,0.14705882352941177,0.7676459888462641
0.21739130434782608,0.14705882352941177,0.7691864561524533
0.22727272727272727,0.14705882352941177,0.7747228476845668
0.23809523809523808,0.14705882352941177,0.7757442335593763
0.2,0.11764705882352941,0.7825240123684324
0.21052631578947367,0.11764705882352941,0.787133851741334
0.2222222222222222,0.11764705882352941,0.7890649164399977
0.23529411764705882,0.11764705882352941,0.7898816777033537
0.25,0.11764705882352941,0.7954856362731326
0.2,0.08823529411764706,0.796960612729145
0.14285714285714285,0.058823529411764705,0.7971855054427464
0.15384615384615385,0.058823529411764705,0.7974490185100929
0.08333333333333333,0.029411764705882353,0.7990299022313643
0.09090909090909091,0.029411764705882353,0.8016082592145441
0.1,0.029411764705882353,0.8028947323697907
0.1111111111111111,0.029411764705882353,0.8039740262139591
0.125,0.029411764705882353,0.805699243773515
0.14285714285714285,0.029411764705882353,0.8064283510490267
0.16666666666666666,0.029411764705882353,0.8090082050945143
0.0,0.0,0.817027070025719
0.0,0.0,0.8200626866070602
0.0,0.0,0.8203637931006443
0.0,0.0,0.8236970842895652
0.0,0.0,0.8259774197441686
1.0,0.0,
