population_family,role,ground_truth_anomaly,count,ae_norm_mean,ae_norm_median,ae_norm_std,mah_norm_mean,mah_norm_median,mah_norm_std,energy_norm_mean,energy_norm_median,energy_norm_std,ensemble_mean,ensemble_median,ensemble_std,flagged_count,flagged_fraction,valid_tokens_mean,valid_tokens_median,padding_fraction_mean,padding_fraction_median,filter_count_mean,common_filter_combinations
Cataclysmic_Variable,test_benchmark,1,13,0.22727759314690982,0.15500302887082032,0.2724994430202609,0.9031486225613767,0.9808748949268805,0.1520105996742467,0.3215021854441711,0.28517594036184096,0.1198407770648374,0.570548182292791,0.6149528920831475,0.13536745569602837,3,0.23076923076923078,46.07692307692308,50.0,0.07846153846153846,0.0,2.6153846153846154,"zg,zi,zr;zg,zr"
SLSN,test_benchmark,1,7,0.8705491645128479,0.8927112640133191,0.11566026955993641,0.9899538955805307,0.9880956011972948,0.006882215158286046,0.027517800094800895,0.030544543667334865,0.00763046037173088,0.7592571625417264,0.762577462723519,0.0398487299604928,7,1.0,37.714285714285715,41.0,0.24571428571428575,0.18,2.5714285714285716,"zg,zi,zr;zg,zr"
SN_II,test_benchmark,0,15,0.8848181799352616,0.9748516367394451,0.16440376623608288,0.9735512666664446,0.9984327392103659,0.04470695731647886,0.055063279613945075,0.028622698981536996,0.04578968263166343,0.7614590815019661,0.7890649164399977,0.07660924822524452,13,0.8666666666666667,40.8,49.0,0.18400000000000002,0.02,2.6666666666666665,"zg,zi;zg,zi,zr"
SN_Ia,test_benchmark,0,19,0.7247609711446072,0.7118598583912693,0.17323470241447161,0.9295970527085857,0.9633141062195484,0.0759976940683693,0.044570791227536134,0.033079030445382955,0.046608744284234,0.6870442543119027,0.7011878110189791,0.09153240136919023,14,0.7368421052631579,46.1578947368421,50.0,0.07684210526315789,0.0,2.789473684210526,"zg,zi,zr;zg,zr"
TDE,test_benchmark,1,14,0.6493792462826414,0.5756942659050237,0.19873904671829143,0.9123550590109014,0.9116873220570694,0.06560574967297617,0.033093277628672646,0.022346845677738487,0.025889513692680024,0.6530003212053516,0.6417715590354898,0.0895696394956818,7,0.5,43.57142857142857,47.5,0.1285714285714286,0.05,2.9285714285714284,"zg,zi,zr;zg,zr"
Unclassified_Field_Star,control,-1,14,0.6395328321363991,0.5913440192779498,0.3383754477995181,0.8856816256762904,0.9630727107833945,0.14456522998080645,0.11388800425360132,0.02521043416953894,0.15620932377127925,0.652564720402008,0.6882375423886913,0.1620460433036803,8,0.5714285714285714,43.57142857142857,50.0,0.1285714285714286,0.0,2.7142857142857144,"zg,zi,zr;zi,zr"
Variable_Star,test_benchmark,0,24,0.656936430392936,0.5787857186600931,0.20995802773099234,0.8991860716664822,0.9201367837387665,0.08947011643975014,0.03587466857831687,0.02807176985902608,0.025466003323683296,0.6490039058413144,0.6323516695789626,0.1080865988296101,11,0.4583333333333333,47.125,50.0,0.057499999999999996,0.0,2.9166666666666665,"zg,zi,zr;zg,zr"
