detector_name,dataset_split,raw_mean,raw_median,raw_std,raw_min,raw_max,norm_mean,norm_median,norm_std,norm_min,norm_max,weight_in_ensemble
Autoencoder,Real_ZTF_Primary (N=106),0.03820489178288658,0.0353813860565424,0.011004626535951724,0.019206874072551727,0.07581046223640442,0.6594568626469176,0.6817486449362566,0.28310563854876425,0.03913385475986531,0.9999766977006128,0.4
Mahalanobis,Real_ZTF_Primary (N=106),21.95812601413367,21.41094207763672,2.9083416246553613,17.351421356201172,31.611799240112305,0.9215962421645063,0.9671751395764174,0.0986424605318696,0.47323144187500776,0.9999947418825529,0.35
Energy,Real_ZTF_Primary (N=106),-1.5710828405506205,-1.6155537366867065,0.11080633656557155,-1.6696698665618896,-1.2944329977035522,0.08456299274718523,0.030950646319407943,0.11832391173859329,0.018127838075885996,0.4520993128394379,0.25
Ensemble,Real_ZTF_Primary (N=106),,,,,,0.6703929989127223,0.6897827807498692,0.11939151291290094,0.2797408600126863,0.8259774197441686,1.0
Autoencoder,Synthetic_Val_Normal_Images (N=16),0.0235708300024271,0.021659329533576965,0.0064357612282037735,0.014208806678652763,0.03932086005806923,0.18087686371291056,0.06915125995874405,0.2253631170949159,0.011828259564936161,0.8490340113639832,0.4
Mahalanobis,Synthetic_Val_Normal_Images (N=16),14.407153069972992,14.452549457550049,1.4648531704898866,10.847189903259277,16.298830032348633,0.10307779163730549,0.06946243006917086,0.07940554018403526,0.003333636447581822,0.26652406459213296,0.35
Energy,Synthetic_Val_Normal_Images (N=16),-1.4992554187774658,-1.5322070121765137,0.1153433695435524,-1.6225719451904297,-1.3019654750823975,0.1428152200533077,0.07142651453614235,0.13560615865091352,0.02888629212975502,0.4332829713821411,0.25
Ensemble,Synthetic_Val_Normal_Images (N=16),,,,,,0.16751776448369116,0.12042685683349738,0.13409045996174845,0.043774347512126645,0.5385503318702524,1.0
Autoencoder,Synthetic_Val_Zero_Images (N=16),0.030090168118476868,0.029754623770713806,0.008562822826206684,0.017228547483682632,0.04342038184404373,0.42821436922531575,0.3507729321718216,0.33655982134106815,0.024469977244734764,0.9388554692268372,0.4
Mahalanobis,Synthetic_Val_Zero_Images (N=16),17.806836903095245,18.153281211853027,1.570825182666994,14.250533103942871,20.296934127807617,0.5730361403647676,0.6415254091566953,0.2550693337980534,0.05876094758118372,0.9187702409891461,0.35
Energy,Synthetic_Val_Zero_Images (N=16),-1.495429515838623,-1.5017199516296387,0.10412706434726715,-1.645470380783081,-1.3099197149276733,0.13636566721834242,0.09360576421022415,0.11572997277626082,0.023045793175697327,0.4136207699775696,0.25
Ensemble,Synthetic_Val_Zero_Images (N=16),,,,,,0.44811461616111326,0.4537538933684032,0.214673308833944,0.0720342569597936,0.7596495541026104,1.0
